Profile_Index,Valid_Count,Gradient_RMSE_dBZ
1198,27,2.6015973
1199,27,1.9971057
1200,27,1.6468477
1201,26,1.836883
1202,27,2.5810404
1203,28,3.2758968
1204,27,2.3491018
1205,28,2.173716
1206,27,3.5475764
1207,29,3.2269425
1208,30,2.0452442
1209,29,2.013093
1210,28,2.0946999
1211,26,1.9179158
1212,26,1.4507775
1213,26,1.9265231
1214,26,2.1324184
1215,25,3.2072413
1216,24,4.7850776
1217,23,4.8461027
1218,26,4.8922224
1219,18,4.414644
1220,23,5.136804
1221,16,4.699109
1222,10,3.1562188
1223,11,5.165758
1224,8,4.137665
1225,7,5.245666
1226,6,6.091303
1227,5,6.5809965
1228,0,
1229,3,4.956159
1230,5,2.7873461
1231,9,4.5366845
1232,6,3.7414563
1233,9,4.721693
1234,9,5.494612
1235,9,5.9024043
1236,7,3.3001504
1237,11,2.198489
1238,12,3.0613027
1239,12,3.6899414
1240,15,6.122986
1241,20,2.2935715
1242,14,3.1209378
1243,11,4.1918097
1244,6,2.4553237
1245,3,1.0931339
1246,5,2.2712972
1247,5,3.0501108
1248,5,4.9653416
1249,6,3.1524336
1250,5,3.9678292
1251,3,2.1269517
1252,8,4.671958
1253,1,
1254,7,2.0876875
1255,1,
1256,6,4.5267096
1257,5,1.7949605
1258,4,1.7591479
1259,0,
1260,4,0.84185344
1261,0,
1262,0,
1263,0,
1264,1,
1265,1,
1266,3,3.1738448
1267,10,5.1497707
1268,6,5.042355
1269,2,
1270,0,
1271,0,
1272,14,3.8453202
1273,3,2.5063596
1274,12,4.3844867
1275,11,3.3379443
1276,22,3.1401849
1277,22,2.2533517
1278,19,4.9095144
1279,15,4.5681186
1280,22,4.9320903
1281,23,4.5279016
1282,24,4.05947
1283,20,6.5094337
1284,15,2.7195463
1285,10,4.311267
1286,11,4.2628803
1287,11,4.024506
1288,10,5.382105
1289,1,
1290,3,1.227365
1291,1,
1292,4,3.5041432
1293,3,2.9961588
1294,8,3.7341747
1295,0,
1296,5,3.7972043
1297,9,2.4255846
1298,7,4.7071214
1299,3,2.742783
1300,6,5.4266386
1301,5,6.8584046
1302,3,5.0588613
1303,5,3.0709798
1304,5,1.7984853
1305,4,4.3893533
1306,4,3.5180857
1307,6,5.727613
1308,5,1.6745758
1309,1,
1310,14,5.497893
1311,15,5.019713
1312,22,4.1586146
1313,15,4.2267704
1314,23,3.255911
1315,19,3.9986591
1316,17,2.8416333
1317,4,3.1982112
1318,5,3.0858917
1319,13,5.2371283
1320,14,4.671977
1321,7,4.707905
1322,4,3.6801722
1323,8,5.8676353
1324,16,5.825382
1325,13,2.6805139
1326,14,3.7130888
1327,12,2.4114032
1328,7,3.9458938
1329,6,2.975355
1330,7,3.6271257
1331,4,1.3365049
1332,6,2.7959237
1333,1,
1334,11,4.920516
1335,17,4.177751
1336,17,4.9330726
1337,23,4.3857923
1338,24,3.6036897
1339,19,3.9892035
1340,7,4.5636773
1341,11,4.073373
1342,29,6.208115
1343,25,6.0323744
1344,33,6.362349
1345,33,6.0331006
1346,32,2.8142679
1347,34,5.247316
1348,35,4.8350477
1349,34,4.498069
1350,34,5.3956747
1351,34,5.263456
1352,36,4.4435134
1353,36,4.5950613
1354,35,4.828306
1355,36,5.5135546
1356,36,5.4417005
1357,30,3.0958645
1358,32,5.5409517
1359,29,4.5201607
1360,18,3.8319755
1361,16,3.3412588
1362,19,2.8996491
1363,24,4.2469177
1364,23,3.219417
1365,23,3.4517822
1366,19,3.5222368
1367,25,5.030009
1368,26,7.1733456
1369,22,5.1258492
1370,26,8.407122
1371,12,4.2226496
1372,3,2.4369907
1373,1,
1374,0,
1375,10,4.1414757
1376,21,5.5805163
1377,24,4.453007
1378,24,3.325765
1379,25,4.768027
1380,20,5.0422454
1381,18,5.636635
1382,4,8.240842
1383,2,
1384,1,
1385,10,6.6074924
1386,8,2.5535533
1387,16,4.542679
1388,13,5.2693434
1389,13,2.5512986
1390,24,3.8649712
1391,18,2.4523132
1392,16,3.5766137
1393,8,2.9979923
1394,10,7.5122075
1395,10,5.143389
1396,11,7.229711
1397,9,8.092992
1398,8,1.7753295
1399,8,5.111446
1400,6,8.256073
1401,7,3.5093205
1402,7,4.1848044
1403,5,3.9915452
1404,8,6.837967
1405,6,7.788914
1406,3,5.7839413
1407,3,1.1518929
1408,8,2.6619117
1409,2,
1410,2,
1411,6,3.4226372
1412,8,4.4603086
1413,8,4.2633657
1414,6,3.8127005
1415,7,4.209283
1416,8,3.3372831
1417,8,3.4447587
1418,8,3.222755
1419,5,2.8320203
1420,8,2.8949013
1421,8,2.1284747
1422,9,3.2412057
1423,7,3.5934348
1424,8,3.210612
1425,6,3.6438024
1426,9,3.1887279
1427,9,2.879929
1428,16,2.0663319
1429,29,1.8942946
1430,31,2.4546063
1431,28,2.52945
1432,31,2.4823396
1433,20,2.7825963
1434,15,2.1094866
1435,23,3.3448787
1436,24,4.7588587
1437,25,4.1266065
1438,18,4.675475
1439,16,2.85597
1440,2,
1441,2,
1442,4,3.715157
1443,10,2.3178499
1444,4,2.6895576
1445,14,1.8856101
1446,21,6.4157834
1447,28,2.6720624
1448,25,3.3939464
1449,32,2.3644047
1450,33,3.1060538
1451,33,2.6242979
1452,32,2.9766655
1453,32,2.2006893
1454,34,2.050679
1455,33,2.7122006
1456,30,3.590897
1457,31,3.096633
1458,26,3.8911595
1459,30,2.8580287
1460,31,3.291382
1461,32,2.9182942
1462,32,3.0080447
1463,29,2.700662
1464,31,3.967081
1465,32,3.178559
1466,33,2.4226696
1467,32,5.241961
1468,34,6.3042393
1469,27,7.7430897
1470,26,8.542424
1471,24,7.137924
1472,26,8.681155
1473,31,6.946359
